127.0.0.1, 2014-02-19 11:34:37, GET, /CostEstimate/home, HTTP/1.1, 200, 0.012713
127.0.0.1, 2014-02-19 11:34:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2014-02-19 11:34:44, GET, /CostEstimate/addresses, HTTP/1.1, 200, 0.021976
127.0.0.1, 2014-02-19 11:34:54, GET, /CostEstimate/home, HTTP/1.1, 200, 0.015946
127.0.0.1, 2014-02-19 11:34:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2014-02-19 11:35:24, GET, /CostEstimate/home, HTTP/1.1, 200, 0.026088
127.0.0.1, 2014-02-19 11:35:26, GET, /submit_addresses%2Chtml, HTTP/1.1, 400, 0.000364
127.0.0.1, 2014-02-19 11:35:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2014-02-19 11:35:28, GET, /CostEstimate/home, HTTP/1.1, 200, 0.020778
127.0.0.1, 2014-02-19 11:35:40, GET, /CostEstimate/home, HTTP/1.1, 200, 0.021192
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.000562
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000605
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000483
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001985
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.007071
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001042
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000929
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.003035
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001472
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.001568
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001138
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.001575
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.001746
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.001006
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.001161
127.0.0.1, 2014-02-19 11:35:41, GET, /CostEstimate/static/images/favicon.ico, HTTP/1.1, 304, 0.000455
127.0.0.1, 2014-02-19 11:35:43, GET, /submit_addresses.html, HTTP/1.1, 400, 0.000243
127.0.0.1, 2014-02-19 11:35:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2014-02-19 11:35:46, GET, /CostEstimate/home, HTTP/1.1, 200, 0.019035
127.0.0.1, 2014-02-19 11:35:50, GET, /submit_addresses.html, HTTP/1.1, 400, 0.000241
127.0.0.1, 2014-02-19 11:35:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2014-02-19 11:35:51, GET, /CostEstimate/home, HTTP/1.1, 200, 0.021021
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/home, HTTP/1.1, 200, 0.022776
